"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"a heady , biting , be-bop [[ride]] through [[nighttime]] [[manhattan]] , a loquacious videologue of the [[modern]] male and the [[lengths]] to which he'll [[go]] to [[weave]] a [[protective]] [[cocoon]] around his [[own]] ego .","a heady , biting , be-bop [[traveling]] through [[laila]] [[westchester]] , a loquacious videologue of the [[upgraded]] male and the [[time]] to which he'll [[proceed]] to [[fleece]] a [[precautionary]] [[worm]] around his [[proprietary]] ego .",0.0004684925079345703,0.6263405084609985,1,0,1,190,"Successful"
"skin of man gets a [[few]] cheap shocks from its kids-in-peril theatrics , but it also [[taps]] into the primal [[fears]] of young people trying to cope with the mysterious and brutal nature of adults .","skin of man gets a [[unassuming]] cheap shocks from its kids-in-peril theatrics , but it also [[applause]] into the primal [[scare]] of young people trying to cope with the mysterious and brutal nature of adults .",0.0001977086067199707,0.9911747574806213,1,0,1,81,"Successful"
"the piano teacher is not an easy film . it forces you to watch people doing unpleasant things to each other and themselves , and it maintains a [[cool]] distance from its material that is deliberately unsettling .","the piano teacher is not an easy film . it forces you to watch people doing unpleasant things to each other and themselves , and it maintains a [[peachy]] distance from its material that is deliberately unsettling .",0.0005653500556945801,0.9985761046409607,1,0,1,31,"Successful"
"as [[refreshing]] as a drink from a woodland stream .","as [[retrofit]] as a drink from a woodland stream .",0.007525384426116943,0.9963832497596741,1,0,1,36,"Successful"
"[[williams]] [[absolutely]] nails sy's queasy [[infatuation]] and overall strangeness .","[[william]] [[flatly]] nails sy's queasy [[squash]] and overall strangeness .",0.0005824565887451172,0.9440569877624512,1,0,1,88,"Successful"
"can i admit xxx is as deep as a petri dish and as well-characterized as a telephone book but still say it was a guilty [[pleasure]] ?","can i admit xxx is as deep as a petri dish and as well-characterized as a telephone book but still say it was a guilty [[amusing]] ?",0.011052250862121582,0.7264763116836548,1,0,1,20,"Successful"
"while it's nothing we haven't seen before from murphy , i [[spy]] is still [[fun]] and enjoyable and [[so]] aggressively silly that it's more than a [[worthwhile]] effort .","while it's nothing we haven't seen before from murphy , i [[spying]] is still [[recreational]] and enjoyable and [[thus]] aggressively silly that it's more than a [[satisfactory]] effort .",0.0008333921432495117,0.8631603121757507,1,0,1,123,"Successful"
"by the time it ends in a rush of sequins , flashbulbs , blaring brass and back-stabbing babes , it has said [[plenty]] about how show business has infiltrated every corner of society -- and not always for the better .","by the time it ends in a rush of sequins , flashbulbs , blaring brass and back-stabbing babes , it has said [[adequate]] about how show business has infiltrated every corner of society -- and not always for the better .",0.08980762958526611,0.750697672367096,1,0,1,33,"Successful"
"an intimate contemplation of two marvelously messy [[lives]] .","an intimate contemplation of two marvelously messy [[died]] .",0.0002003312110900879,0.5800790786743164,1,0,1,55,"Successful"
"rarely has skin looked as beautiful , desirable , even delectable , as it does in trouble every day .","rarely has skin looked as beautiful , desirable , even delectable , as it does in trouble every day .",0.9948773384094238,0.9948773384094238,0,0,1,1,"Skipped"
"this is one of those [[rare]] docs that paints a grand picture of an era and makes the [[journey]] feel like a party .","this is one of those [[scant]] docs that paints a grand picture of an era and makes the [[voyage]] feel like a party .",0.00020879507064819336,0.9237949252128601,1,0,1,58,"Successful"
"[[poignant]] if familiar story of a young person suspended between two cultures .","[[disheartening]] if familiar story of a young person suspended between two cultures .",0.0001811385154724121,0.9996364712715149,1,0,1,45,"Successful"
"a metaphor for a modern-day [[urban]] china [[searching]] for its [[identity]] .","a metaphor for a modern-day [[stadt]] china [[investigative]] for its [[characterization]] .",0.002469003200531006,0.9633846879005432,1,0,1,71,"Successful"
"for all its brooding quality , ash wednesday is suspenseful and ultimately unpredictable , with a [[sterling]] [[ensemble]] cast .","for all its brooding quality , ash wednesday is suspenseful and ultimately unpredictable , with a [[ravishing]] [[total]] cast .",0.0003305673599243164,0.5016444325447083,1,0,1,36,"Successful"
"an odd drama set in the world of lingerie models and bar dancers in the midwest that held my interest precisely because it didn't [[try]] to .","an odd drama set in the world of lingerie models and bar dancers in the midwest that held my interest precisely because it didn't [[endeavours]] to .",0.0017213821411132812,0.6340570449829102,1,0,1,61,"Successful"
"the film feels uncomfortably real , its language and locations bearing the unmistakable stamp of [[authority]] .","the film feels uncomfortably real , its language and locations bearing the unmistakable stamp of [[authorizing]] .",0.00923842191696167,0.6387765407562256,1,0,1,34,"Successful"
"despite its [[faults]] , gangs [[excels]] in spectacle and [[pacing]] .","despite its [[deficiency]] , gangs [[overwhelms]] in spectacle and [[stimulant]] .",0.0007768869400024414,0.733837366104126,1,0,1,72,"Successful"
"[[entertaining]] despite its one-joke premise with the thesis that women from venus and men from mars can indeed get together .","[[entertained]] despite its one-joke premise with the thesis that women from venus and men from mars can indeed get together .",0.03188222646713257,0.861374020576477,1,0,1,39,"Successful"
"a [[tightly]] directed , highly professional [[film]] that's old-fashioned in all the best [[possible]] ways .","a [[severely]] directed , highly professional [[imaging]] that's old-fashioned in all the best [[prospective]] ways .",0.0002594590187072754,0.9982951879501343,1,0,1,129,"Successful"
"it's [[dark]] but has [[wonderfully]] funny moments ; you care about the characters ; and the action and special effects are first-rate .","it's [[dismal]] but has [[unbelievably]] funny moments ; you care about the characters ; and the action and special effects are first-rate .",0.0003349781036376953,0.5874353647232056,1,0,1,100,"Successful"
"in visual fertility treasure planet [[rivals]] the top japanese animations of recent vintage .","in visual fertility treasure planet [[hostiles]] the top japanese animations of recent vintage .",0.004092097282409668,0.9993601441383362,1,0,1,52,"Successful"
"[[enormously]] [[enjoyable]] , high-adrenaline [[documentary]] .","[[impossibly]] [[tasty]] , high-adrenaline [[typed]] .",0.0004481673240661621,0.9933302998542786,1,0,1,111,"Successful"
"buy is an accomplished actress , and this is a big , [[juicy]] role .","buy is an accomplished actress , and this is a big , [[crusty]] role .",0.0015747547149658203,0.9761934876441956,1,0,1,15,"Successful"
"it [[works]] its [[magic]] with such exuberance and [[passion]] that the film's [[length]] becomes a [[part]] of its [[fun]] .","it [[working]] its [[sorcery]] with such exuberance and [[thrills]] that the film's [[durability]] becomes a [[parti]] of its [[kidding]] .",0.0005319714546203613,0.9556191563606262,1,0,1,198,"Successful"
"[[beautifully]] crafted and [[brutally]] [[honest]] , [[promises]] [[offers]] an unexpected [[window]] into the complexities of the middle east struggle and into the [[humanity]] of its people .","[[appallingly]] crafted and [[disgracefully]] [[veritable]] , [[undertaking]] [[offered]] an unexpected [[glazing]] into the complexities of the middle east struggle and into the [[humanities]] of its people .",0.0002116560935974121,0.999352753162384,1,0,1,228,"Successful"
"an old-fashioned but emotionally [[stirring]] adventure tale of the kind they rarely make anymore .","an old-fashioned but emotionally [[irate]] adventure tale of the kind they rarely make anymore .",0.00030410289764404297,0.9996671676635742,1,0,1,59,"Successful"
"charlotte sometimes is a gem . it's always [[enthralling]] .","charlotte sometimes is a gem . it's always [[hallucinatory]] .",0.0004767179489135742,0.7884401679039001,1,0,1,45,"Successful"
"in my opinion , [[analyze]] that is not as funny or entertaining as [[analyze]] this , but it is a respectable sequel .","in my opinion , [[scrutinize]] that is not as funny or entertaining as [[considering]] this , but it is a respectable sequel .",0.010358035564422607,0.8228511214256287,1,0,1,94,"Successful"
"a [[remarkable]] film by bernard rose .","a [[unbelievable]] film by bernard rose .",0.0006244778633117676,0.8727924227714539,1,0,1,46,"Successful"
"zhuangzhuang creates [[delicate]] balance of style , text , and subtext that's so simple and precise that anything discordant would topple the balance , but against all odds , nothing does .","zhuangzhuang creates [[precarious]] balance of style , text , and subtext that's so simple and precise that anything discordant would topple the balance , but against all odds , nothing does .",0.0006281733512878418,0.7013076543807983,1,0,1,60,"Successful"
"a [[much]] more [[successful]] translation than its most famous [[previous]] film adaptation , writer-director anthony friedman's similarly updated 1970 british production .","a [[severely]] more [[succeeded]] translation than its most famous [[elderly]] film adaptation , writer-director anthony friedman's similarly updated 1970 british production .",0.0003769397735595703,0.9922087788581848,1,0,1,108,"Successful"
"an [[original]] and highly cerebral [[examination]] of the [[psychopathic]] mind","an [[rudimentary]] and highly cerebral [[inspection]] of the [[lunatic]] mind",0.0003083944320678711,0.9976626634597778,1,0,1,79,"Successful"
"michel piccoli's [[moving]] performance is this films reason for being .","michel piccoli's [[transfered]] performance is this films reason for being .",0.00017011165618896484,0.9910590648651123,1,0,1,54,"Successful"
"a [[captivating]] and intimate [[study]] about dying and [[loving]] . . .","a [[hallucinatory]] and intimate [[analysing]] about dying and [[cared]] . . .",0.00013756752014160156,0.9991751313209534,1,0,1,108,"Successful"
"this is an elegantly [[balanced]] [[movie]] -- every member of the ensemble has something fascinating to do -- that doesn't [[reveal]] even a hint of artifice .","this is an elegantly [[balances]] [[cine]] -- every member of the ensemble has something fascinating to do -- that doesn't [[shown]] even a hint of artifice .",0.0006039142608642578,0.9562034606933594,1,0,1,73,"Successful"
"[grant] goes beyond his usual fluttering and stammering and [[captures]] the [[soul]] of a man in pain who gradually comes to recognize it and deal with it .","[grant] goes beyond his usual fluttering and stammering and [[incarcerate]] the [[geist]] of a man in pain who gradually comes to recognize it and deal with it .",0.00019747018814086914,0.5307053327560425,1,0,1,80,"Successful"
"a high-spirited buddy [[movie]] about the reunion of berlin [[anarchists]] who [[face]] [[arrest]] 15 [[years]] after their [[crime]] .","a high-spirited buddy [[photographed]] about the reunion of berlin [[anarchism]] who [[facial]] [[intercepted]] 15 [[olds]] after their [[violation]] .",0.0001398324966430664,0.52142333984375,1,0,1,224,"Successful"
"about the best thing you could say about narc is that it's a rock-solid [[little]] genre [[picture]] . whether you like it or not is basically a matter of taste .","about the best thing you could say about narc is that it's a rock-solid [[scant]] genre [[pictured]] . whether you like it or not is basically a matter of taste .",0.0004120469093322754,0.9840844869613647,1,0,1,45,"Successful"
"an involving , inspirational drama that [[sometimes]] falls prey to its sob-story trappings .","an involving , inspirational drama that [[fluently]] falls prey to its sob-story trappings .",0.00045931339263916016,0.9801264405250549,1,0,1,36,"Successful"
"some of the most inventive silliness you are likely to witness in a movie theatre for some time .","some of the most inventive silliness you are likely to witness in a movie theatre for some time .",0.9855858683586121,0.9855858683586121,0,0,1,1,"Skipped"
"canadian filmmaker gary burns' [[inventive]] and mordantly humorous take on the soullessness of work in the [[city]] .","canadian filmmaker gary burns' [[fanciful]] and mordantly humorous take on the soullessness of work in the [[midtown]] .",0.00023120641708374023,0.7152054309844971,1,0,1,70,"Successful"
"a rollicking [[ride]] , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that leads up to a strangely sinister happy ending .","a rollicking [[wrinkle]] , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that leads up to a strangely sinister happy ending .",0.0015110969543457031,0.9932213425636292,1,0,1,53,"Successful"
"everyone's [[insecure]] in [[lovely]] and amazing , a [[poignant]] and wryly [[amusing]] [[film]] about [[mothers]] , [[daughters]] and their [[relationships]] .","everyone's [[undefended]] in [[awesome]] and amazing , a [[disheartening]] and wryly [[fun]] [[theaters]] about [[pregnancy]] , [[girls]] and their [[ratio]] .",0.00014853477478027344,0.6050989627838135,1,0,1,274,"Successful"
"the [[closest]] thing to the [[experience]] of space travel","the [[shuts]] thing to the [[expertise]] of space travel",0.00577622652053833,0.7379101514816284,1,0,1,66,"Successful"
"full of [[surprises]] .","full of [[stumped]] .",0.0006740093231201172,0.9694823622703552,1,0,1,21,"Successful"
"connoisseurs of chinese film will be pleased to [[discover]] that tian's meticulous talent has not [[withered]] during his enforced hiatus .","connoisseurs of chinese film will be pleased to [[excavated]] that tian's meticulous talent has not [[sinews]] during his enforced hiatus .",0.010149598121643066,0.5013450384140015,1,0,1,93,"Successful"
"if you can push on through the slow spots , you'll be rewarded with some [[fine]] acting .","if you can push on through the slow spots , you'll be rewarded with some [[good]] acting .",0.24841052293777466,0.624923825263977,1,0,1,27,"Successful"
"an [[unusually]] dry-eyed , even analytical approach to material that is generally played for maximum moisture .","an [[alarmingly]] dry-eyed , even analytical approach to material that is generally played for maximum moisture .",0.0010532736778259277,0.9871019124984741,1,0,1,40,"Successful"
"symbolically , warm water under a red [[bridge]] is a [[celebration]] of feminine energy , a [[tribute]] to the power of women to heal .","symbolically , warm water under a red [[flyover]] is a [[ceremonial]] of feminine energy , a [[thanks]] to the power of women to heal .",0.013426244258880615,0.5227566957473755,1,0,1,135,"Successful"
"[[spy]] kids 2 also happens to be that rarity among sequels : it actually improves upon the original hit movie .","[[bugging]] kids 2 also happens to be that rarity among sequels : it actually improves upon the original hit movie .",0.054247498512268066,0.9664772152900696,1,0,1,24,"Successful"
"exceptionally [[well]] acted by [[diane]] lane and richard gere .","exceptionally [[weil]] acted by [[tamara]] lane and richard gere .",0.0016699433326721191,0.6231437921524048,1,0,1,47,"Successful"
"like a precious and finely cut diamond , magnificent to behold in its sparkling beauty yet in reality it's one tough rock .","like a precious and finely cut diamond , magnificent to behold in its sparkling beauty yet in reality it's one tough rock .",0.9394428730010986,0.9394428730010986,0,0,1,1,"Skipped"
"in [[addition]] to scoring high for originality of plot -- putting [[together]] familiar themes of family , [[forgiveness]] and love in a new [[way]] -- lilo & [[stitch]] [[has]] a number of other assets to [[commend]] it to [[movie]] audiences both innocent and jaded .","in [[adds]] to scoring high for originality of plot -- putting [[collectively]] familiar themes of family , [[sorry]] and love in a new [[routing]] -- lilo & [[sewn]] [[had]] a number of other assets to [[complimented]] it to [[stills]] audiences both innocent and jaded .",0.00024622678756713867,0.5154125690460205,1,0,1,250,"Successful"
"miller has crafted an [[intriguing]] story of maternal instincts and misguided acts of affection .","miller has crafted an [[outlandish]] story of maternal instincts and misguided acts of affection .",0.0006309151649475098,0.9997270703315735,1,0,1,36,"Successful"
"one of the most [[exciting]] [[action]] [[films]] to come out of [[china]] in [[recent]] [[years]] .","one of the most [[ravishing]] [[act]] [[cinematographer]] to come out of [[chinese]] in [[final]] [[older]] .",0.00044864416122436523,0.9482048749923706,1,0,1,159,"Successful"
